Event Name,Location,Day,Timings,,
,,,February 28,March 1,March 2
ROBONEX,,,,,
Robowars,Rajputana Ground,,10:00:00 - 16:00:00,"10:00:00 - 22:00:00",No Event
Mazex,SB Corridor 1st Floor,,10:00:00 - 17:00:00,10:00:00 - 17:00:00,10:00:00 - 14:00:00
Bostacle Challenge,SB Lawn,,10:00:00 - 17:00:00,10:00:00 - 17:00:00,10:00:00 - 14:00:00
Micromouse,SB Corridor Ground Floor,,10:00:00 - 17:00:00,10:00:00 - 17:00:00,10:00:00 - 14:00:00
EXTREME ENGINEERING,,,,,
Axelerate,Rajputana,,10:00:00 - 17:00:00,10:00:00 - 17:00:00,10:00:00 - 12:00:00
RoboSoccer,SB Corridor,,13:00:00 - 17:00:00,13:00:00 - 17:00:00,No Event
CADstrophe,LT 1.1A,,No Event,13:00:00 - 17:00:00,No Event
Simusolve,LT 1.1B,,11:00:00 - 16:00:00,13:00:00 - 17:00:00,10:00:00 - 14:00:00
ASCENSION,,,,,
DroneTech,Rajputana Ground,,10:00:00 - 17:00:00,10:00:00 - 17:00:00,10:00:00 - 14:00:00
Aeroverse,Gymkhana ground,,10:00:00 - 17:00:00,10:00:00 - 17:00:00,10:00:00 - 14:00:00
Skyglide,Gymkhana ground,,10:00:00 - 17:00:00,10:00:00 - 17:00:00,10:00:00 - 14:00:00
SUPERNOVA,,,,,
SoU,3.3A,Evening - Day 1,14:00:00 - 18:00:00,No Event,No Event
Stellar Analytics,3.3B,Morning - Day 2,No Event,09:00:00 - 13:00:00,No Event
AstroQuiz,3.3C,Evening - Day 2 & Morning - Day 3,No Event,13:00:00 - 17:00:00,09:00:00 - 12:00:00
SolidBoost,Gymkhana,Day 2,No Event,10:00:00 - 17:00:00,No Event
INNORAVE,,,,,
Fake Investors,LT 3 main hall,Pitching & Bidding - Day 2,No Event,09:00:00 - 14:00:00, No Event
Eco Hackathon,LT 3.2a,Hardware - Day 1 & Software - Day 2,09:00:00 - 12:00:00,09:00:00-13:00:00,No Event
Climate Buzzer,LT 3.2B,Round 1 - Day 1 & Round 2 - Day 2,09:00:00 - 12:00:00,09:00:00 - 12:00:00,No Event
Eureka,LT 3.2C,Day 2,No Event,09:00:00-13:00:00,No Event
RIQUEZZA,,,,,
Prodnosis,LT 3.1A,Day 2,No Event,13:00:00 - 17:00:00,No Event
Consultathon,LT 3.1B,Day 1,09:00:00 - 13:00:00,No Event,No Event
Technalytics,LT 3.1C,Day 1,13:00:00 - 17:00:00,No Event,No Event
Capital Quest,LT 3.1C,Day 3,No Event,No Event,09:00:00 - 13:00:00
BYTE THE BITS,,,,,
Hack It Out,ABLT 4,Hackathon - Day 1 & 2 | Presentation - Day 3,10:00:00- 22:00:00,08:00:00- 20:00:00,10:00:00- 13:00:00
1BRC,ABLT 2,24 Hour Hackathon - Day 1 & 2,10:00:00 - 22:00:00,08:00:00 - 20:00:00,No Event
Gamejam,ABLT 3,Day 2,No Event,09:00:00- 13:00:00,No Event
CTF Hackathon,Online,Day 1,No Event,No Event,No Event
ICM,Online,Day 1,No Event,No Event,No Event
MODEX,,,,,
Terravate,SB lawn,Exhibition - Day 1 & 2,11:00:00 - 17:00:00,11:00:00 - 17:00:00,No Event
Soft Corner,LT 3.4c,Evening - Day 2,No Event,13:00:00 - 17:00:00,No Event
IOmatic,LT 3.4c,Morning - Day 2,No Event,09:00:00 - 13:00:00,No Event
Civic Tech,LT 1,Morning - Day 2,No Event,09:00:00 - 13:00:00,No Event
MATRIXMANIA,,,,,
CogniQuest,LT 3.4A and LT 3.4C,Day 1 & 2,09:00:00 - 12:00:00,09:00:00 - 12:00:00,No Event
PokerMania,LT 3.4B,Day 2,No Event,09:00:00 - 12:00:00,No Event
CryptoRush,LT 3.4B,Day 2,No Event,15:00:00 - 19:00:00,No Event
AlgoZen,LT 3.4A,Day 3,No Event,No Event,09:00:00 - 13:00:00
